"id_origin","hour","dow","viajes"
"0827905",10,4,27571.004
"0827905",10,5,28868.965
"0827905",10,6,30424.948
"0827905",10,7,27090.677
"0827905",11,1,27918.822
"0827905",11,2,28805.344
"0827905",11,3,28937.708
"0827905",11,4,27544.12
"0827905",11,5,28334.458
"0827905",11,6,34184.745
"0827905",11,7,30572.089
"0827905",12,1,29275.928
"0827905",12,2,29974.344
"0827905",12,3,30221.725
"0827905",12,4,28472.394
"0827905",12,5,29562.655
"0827905",12,6,33535.352
"0827905",12,7,30369.399
"0827905",13,1,31967.019
"0827905",13,2,34915.921
"0827905",13,3,34785.036
"0827905",13,4,32287.916
"0827905",13,5,33599.03
"0827905",13,6,34262.772
"0827905",13,7,32154.672
"0827905",14,1,33485.837
"0827905",14,2,35755.905
"0827905",14,3,35672.935
"0827905",14,4,35583.117
"0827905",14,5,37008.705
"0827905",14,6,29127.294
"0827905",14,7,26642.27
"0827905",15,1,29404.111
"0827905",15,2,31995.091
"0827905",15,3,33479.958
"0827905",15,4,31894.412
"0827905",15,5,33405.437
"0827905",15,6,24362.878
"0827905",15,7,21287.328
"0827905",16,1,30188.99
"0827905",16,2,32991.616
"0827905",16,3,32575.767
"0827905",16,4,33471.74
"0827905",16,5,34470.621
"0827905",16,6,27725.14
"0827905",16,7,22539.252
"0827905",17,1,34264.328
"0827905",17,2,38333.867
"0827905",17,3,37930.631
"0827905",17,4,36722.22
"0827905",17,5,37006.093
"0827905",17,6,29647.946
"0827905",17,7,25373.782
"0827905",18,1,34772.633
"0827905",18,2,37344.907
"0827905",18,3,37300.276
"0827905",18,4,38498.874
"0827905",18,5,37026.644
"0827905",18,6,33669.555
"0827905",18,7,26424.627
"0827905",19,1,34958.619
"0827905",19,2,38708.97
"0827905",19,3,37973.146
"0827905",19,4,38635.706
"0827905",19,5,36203.641
"0827905",19,6,30753.842
"0827905",19,7,25896.431
"0827905",20,1,32397.985
"0827905",20,2,35151.014
"0827905",20,3,35331.529
"0827905",20,4,35175.45
"0827905",20,5,34722.309
"0827905",20,6,28279.209
"0827905",20,7,24808.552
"0827905",21,1,27586.242
"0827905",21,2,28910.447
"0827905",21,3,28707.783
"0827905",21,4,28302.197
"0827905",21,5,28511.26
"0827905",21,6,25109.521
"0827905",21,7,22292.266
